ID	WORD	TAG
1	Al	NNP
2	-	HYPH
3	Zaman	NNP
4	:	:
5	American	JJ
6	forces	NNS
7	killed	VBD
8	Shaikh	NNP
9	Abdullah	NNP
10	al	NNP
11	-	HYPH
12	Ani	NNP
13	,	,
14	the	DT
15	preacher	NN
16	at	IN
17	the	DT
18	mosque	NN
19	in	IN
20	the	DT
21	town	NN
22	of	IN
23	Qaim	NNP
24	,	,
25	near	IN
26	the	DT
27	Syrian	JJ
28	border	NN
29	.	.
		
1	[	-LRB-
2	This	DT
3	killing	NN
4	of	IN
5	a	DT
6	respected	JJ
7	cleric	NN
8	will	MD
9	be	VB
10	causing	VBG
11	us	PRP
12	trouble	NN
13	for	IN
14	years	NNS
15	to	TO
16	come	VB
17	.	.
18	]	-RRB-
		
1	DPA	NNP
2	:	:
3	Iraqi	JJ
4	authorities	NNS
5	announced	VBD
6	that	IN
7	they	PRP
8	had	VBD
9	busted	VBN
10	up	RP
11	3	CD
12	terrorist	JJ
13	cells	NNS
14	operating	VBG
15	in	IN
16	Baghdad	NNP
17	.	.
		
1	Two	CD
2	of	IN
3	them	PRP
4	were	VBD
5	being	VBG
6	run	VBN
7	by	IN
8	2	CD
9	officials	NNS
10	of	IN
11	the	DT
12	Ministry	NNP
13	of	IN
14	the	DT
15	Interior	NNP
16	!	.
		
1	The	DT
2	MoI	NNP
3	in	IN
4	Iraq	NNP
5	is	VBZ
6	equivalent	JJ
7	to	IN
8	the	DT
9	US	NNP
10	FBI	NNP
11	,	,
12	so	RB
13	this	DT
14	would	MD
15	be	VB
16	like	IN
17	having	VBG
18	J.	NNP
19	Edgar	NNP
20	Hoover	NNP
21	unwittingly	RB
22	employ	VB
23	at	IN
24	a	DT
25	high	JJ
26	level	NN
27	members	NNS
28	of	IN
29	the	DT
30	Weathermen	NNPS
31	bombers	NNS
32	back	RB
33	in	IN
34	the	DT
35	1960s	NNS
36	.	.
		
1	The	DT
2	third	JJ
3	was	VBD
4	being	VBG
5	run	VBN
6	by	IN
7	the	DT
8	head	NN
9	of	IN
10	an	DT
11	investment	NN
12	firm	NN
13	.	.
		
1	You	PRP
2	wonder	VBP
3	if	IN
4	he	PRP
5	was	VBD
6	manipulating	VBG
7	the	DT
8	market	NN
9	with	IN
10	his	PRP$
11	bombing	NN
12	targets	NNS
13	.	.
		
1	The	DT
2	cells	NNS
3	were	VBD
4	operating	VBG
5	in	IN
6	the	DT
7	Ghazaliyah	NNP
8	and	CC
9	al	NNP
10	-	HYPH
11	Jihad	NNP
12	districts	NNS
13	of	IN
14	the	DT
15	capital	NN
16	.	.
		
1	Although	IN
2	the	DT
3	announcement	NN
4	was	VBD
5	probably	RB
6	made	VBN
7	to	TO
8	show	VB
9	progress	NN
10	in	IN
11	identifying	VBG
12	and	CC
13	breaking	VBG
14	up	RP
15	terror	NN
16	cells	NNS
17	,	,
18	I	PRP
19	do	VBP
20	n't	RB
21	find	VB
22	the	DT
23	news	NN
24	that	IN
25	the	DT
26	Baathists	NNPS
27	continue	VBP
28	to	TO
29	penetrate	VB
30	the	DT
31	Iraqi	JJ
32	government	NN
33	very	RB
34	hopeful	JJ
35	.	.
		
1	It	PRP
2	reminds	VBZ
3	me	PRP
4	too	RB
5	much	RB
6	of	IN
7	the	DT
